number,name,university
12112791,התהוות ספרות המקרא,BGU
12112821,ספר ישעיה מ-סו - א,BGU
12112881,פרקים באמונת המקרא,BGU
12112941,"רש\""י ורבא\""ע על שיר השירים",BGU
12112951,"מקרא: רש\""י ורד\""ק",BGU
12112961,מבוא לעברית מקראית,BGU
12112971,מבוא לעברית מקראית,BGU
12112981,ספר תהילים,BGU
12112991,מזמורים נבחרים מספר תהילים ב,BGU
12113011,תלמוד,BGU
12113021,שיר השירים 1,BGU
12113031,שיר השירים 2,BGU
12113071,סיפור המסגרת של ספר איוב,BGU
12113111,תלמוד,BGU
12113151,סיפורי הבריאה והמבול,BGU
12113171,ספורי הנביאים,BGU
12113181,מבוא לספרות החיצונית,BGU
12113191,ספרות החוכמה הבבלית וזיקתה למקרא,BGU
12113261,"רש\""י על ספר דברים",BGU
12113281,ספרות המקרא וספרות מסופ,BGU
12113461,נבואה וחברה בימי שיבת ציון,BGU
12120013,פרקים נבחרים בספר ישעיה א-לט - חלק א\',BGU
12120023,פרקים נבחרים בספר ישעיה א-לט - חלק ב\',BGU
12120024,המוסר בתורת הנביאים - ב,BGU
12120031,עיונים בספר ירמיה - א,BGU
12120032,עיונים בספר הושע,BGU
12120041,עיונים בספר ירמיה - ב,BGU
12120042,עיונים בספר מיכה,BGU
12120046,מיכה נחום וצפניה,BGU
12121011,"פרשנות המדרש בספרות חז\""ל",BGU
12121081,קריאה בתרגומים ארמיים א,BGU
12121091,קריאה בתרגומים ארמיים ב,BGU
12122010,עיונים בספר איוב,BGU
12210016,"פרא אציל: על הגירה, בינדוריות וזהות ביצירתם של בני הדור השני להגירה מארצות ערב",BGU
12210027,סוגה ומגדר: הסיפור האישי הנשי כביטוי לזהות וליחסים מגדריים,BGU
12210040,משוררים עבריים מרכזיים במאה ה-17 - ב,BGU
12210041,השירה העברית בספרד הנוצרית,BGU
12210051,שיטות מחקר בספרות,BGU
12210091,שירה אישית בספרד,BGU
12210092,יידיש שפה ותרבות למתחילים - א,BGU
12210093,"בין מודעות לאי מודעות ביצירות ש\""י עגנון",BGU
12210131,הדמות העממית בספרות,BGU
12210133,יצירת ביאליק בראי הביקורת - ב,BGU
12210191,עיצובים מטאפורים,BGU
12210203,"ללגום, או לא ללגום\""? הזמנה למשתה יין יהודי בספרד",BGU
12210208,מבוא היסטורי לספרות עברית חדשה: המאה ה-18 עד המאה ה-19 - א,BGU
12210218,מבוא היסטורי לספרות עברית חדשה: המאה ה-18 עד המאה ה-19 - ב,BGU
12210221,ספרות ילדים,BGU
12210226,ריאליזם ומימזיס: סוגיות בייצוג המציאות מימי הבינים ועד ימנו,BGU
12210237,גוף ומגדר בסיפורת העברית בימי הביניים,BGU
12210273,שירה ותרבות באמסטרדם במאה ה- 17 - ב,BGU
12210282,יסודות סטיריים ופרודיים ביצירתו של חנוך לוין - ב,BGU
12210320,פרקים בתולדות הספרות העברית מן המקרא לעת החדשה,BGU
12210382,עגנון והפולקלור,BGU
12210394,לאן נעלם הכסף? - ב,BGU
12210402,"שנינות ושעשוע, הרפתקאות והומור - מפגש עם המקאמה העברית",BGU
12210412,"אחות שמש ואם הלבנה\"" - לזאת ייקרא אישה?!",BGU
12210421,"אחרי ה\""עושר והאושר",BGU
12210434,אבני דרך בספרות העולם - ב,BGU
12210442,חפצים וסיפורים,BGU
12210444,מנדלי מוכר ספרים: מסעות וסאטירה,BGU
12210453,מטאפורות שעל-פי הן אנו חיים,BGU
12210475,השירה הארס-פואטית של ביאליק,BGU
12210493,מזרח ומערב ביצירותיו של יואל הופמן,BGU
12210494,"שנינות ואירוניה, ריאליזם ווירטואוזיות ; מפגש עם יצירתו של אברהם אבן עזרא",BGU
12210506,נבוכים ודרקונים - העל-טבעי בסיפורת העברית בימי הביניים,BGU
12210522,גלות וגאולה בשירת ימי הביניים - א,BGU
12210524,"בעקבות ה\""טרצה רימה\"" באיטליה",BGU
12210533,שיח ערב ועבר בימי הביניים,BGU
12210552,סיפורת העלייה השניה - ב,BGU
12210554,חיים ושירה בחצרות ספרד בימי הביניים,BGU
12210556,"אלף סיפור וסיפור: סיפורת עברית, ערבית ואירופית בימי הביניים",BGU
12210571,חילופי שיר בין מש\' עבר\' בספרד,BGU
12210611,"חורבן וגאולה בשירים עבר\' מימה\""ב",BGU
12210621,עדת הנוגנים בסרגוסה,BGU
12210633,ספרות של עולמות אפשריים,BGU
12210811,יחסי דורות במשפחה בראי המעשיה,BGU
12210831,הגיבור בתרבות העממית,BGU
12210901,הלשון הציורית,BGU
12210921,מירושלים לספרד,BGU
12210991,הדרכה בספרות העברית ב,BGU
12211091,(הדרכה ביבליוגרפית (לספרות,BGU
12211101,משקל חרוז ובית,BGU
12211111,מקרא בשירת ביאליק,BGU
12211121,מקרא בתמול שלשום לעגנון,BGU
12211141,תחביר העברית החדשה,BGU
12211181,שלום עליכם והקומדיה של ההתפוררות ‏,BGU
12211201,ראשיתה של הדרמה העברית באיטליה - ב,BGU
12211221,קריאת מקורות,BGU
12211251,יצירתו של דוד פוגל,BGU
12211271,"שירי קודש וחול בימה\""ב",BGU
12211321,הסיפור העברי בימי הביניים,BGU
12211351,"שיטות מחקר: \""אמרי.... כפנינים רצופים\"": תרבות של שירה ושירה של תרבות בשירת ישראל בספרד",BGU
12211432,"הסיפורת של דור הפלמ\""ח - ב",BGU
12211461,אגדה וסיפור אישי,BGU
12211471,יסודות בחקר הספרות העממית,BGU
12211491,מבוא לשירה,BGU
12211511,"מקרא: עיונית בפירושי רש\""י",BGU
12211561,"מבוא ליצירת ימה\""ב הרנס\' והבארוק",BGU
12211611,יסודות הסיפורת,BGU
12211814,שיטות מחקר: שירת לאה גולדברג בהקשרים שונים - ב,BGU
12211901,"מקרא ב\""סיפור פשוט\"" לעגנון",BGU
12211921,מגמות בדרמה הישראלית,BGU
12211941,"הרומאן \""תמול שלשום",BGU
12211981,מבוא לספרות עממית - ב\',BGU
12211991,"יעירוני בשמך\"" - סוגיות בשירת הקודש הספרדית",BGU
12212011,הסיפור החסידי בהקשר היסטורי ותרבותי,BGU
12212051,משוררים עבריים באיטליה ב,BGU
12212101,מבוא לתורת הספרות,BGU
12212221,הפרוזה העברית במאה העשרים: 1950-2000,BGU
12212351,שירת טשרניחובסקי,BGU
12212371,"אבירים, נזירים ונוכלים: הפנים החדשות של השירה העברית בספרד הנוצרית",BGU
12212381,מבוא לשירה עברית,BGU
12212401,מבוא היסטורי: מספרות המדרש עד החסידות - א,BGU
12212411,מבוא לשירה - ב,BGU
12212421,מבוא לסיפורת העברית החדשה,BGU
12212541,תמורות בגיאוגרפיה של הכפר,BGU
12212571,תורת הספרות - חלק א,BGU
12212621,"מבוא לספרות חז\""ל",BGU
12212741,"הסיפור העברי בימה\""ב",BGU
12212751,"הסיפור העברי בימה\""ב",BGU
12212771,השירה העברית בספרד,BGU
12212861,מבוא היסטורי: מספרות המדרש עד החסידות - ב,BGU
12212871,צורות ספרותיות במדרשי האגדה,BGU
12212891,שמואל הנגיד ובני דורו,BGU
12213061,התנך ושירת ספרד,BGU
12213591,תקופת הרנסנס בשירה ובחברה באיטליה - א,BGU
12213601,תקופת הבארוק בשירה ובחברה באיטליה,BGU
12213621,מבחר שירי קודש וחול מספרד,BGU
12213641,15-12 שירת ספרד במאות,BGU
12213651,שירת אורי צבי גרינברג,BGU
12213711,מארץ ישראל לספרד,BGU
12213761,"מריה\""ל לבונפיד",BGU
12213771,מוסר והוללות,BGU
12213871,יוצרים דו לשוניים,BGU
12213911,הסיפור הקצר מיזהר עד שבתאי,BGU
12213951,שמואל הנגיד ואבן גבירול,BGU
12214021,האבסורד בספרות,BGU
12214031,מקרא בסיפורי א.ב יהושע,BGU
12214061,קוים בפואטיקה של השירה העברית בספרד,BGU
12214081,ספרות בית הכנסת,BGU
12214121,יצירתה של דבורה בארון,BGU
12214171,משוררים עבריים באטליה בתקופת הבארוק,BGU
12214291,לשון פיגורטיבית - שירת ההשכלה,BGU
12214301,"מקרא בסיפורים קצרים:ברנר,ברדיצבסקי וע",BGU
12214311,מקרא בסיפורים מן הספרות הישראלית בת ז,BGU
12214331,התפילה והפיוט הקדום,BGU
12214381,יצירות נבחרות,BGU
12214401,(הדרשה הספרותית (פרוסמינר,BGU
12214481,הספרות העברית לדורותיה,BGU
12214491,הספרות העברית לדורותיה,BGU
12214541,שירת הקודש העברית מראשיתה,BGU
12214621,לשון במראות של ביאליק וטשרניחובסקי,BGU
12214631,יסודות עממיים בספרות האגדה - א,BGU
12214691,הפרט והחברה בספרות רוסית א,BGU
12214701,הפרט והחברה בספרות רוסית ב,BGU
12214711,זרמים מרכזיים בתורת הספרות א,BGU
12214721,זרמים מרכזיים בתורת הספרות ב,BGU
12214731,מקרא בשלשה מסיפורי עגנון,BGU
12214741,הספרים העבריים אחרי מלחמת השחרור,BGU
12214781,אורי ניסן גנסין - ב,BGU
12214811,שירת החול והביקורת החדשה,BGU
12214891,(הדרכה ביבליוגרפית (לספרות,BGU
12214901,ברנר ודוסטויבסקי : המשכיות ודיאלוג,BGU
12214911,ברנר ודוסטויבסקי,BGU
12214931,סיפורת ישראלית עכשווית,BGU
12214941,הגישה הארכיטופית,BGU
12214951,עיון משווה בסיפורי,BGU
12214981,יצירות נבחרות,BGU
12215001,"עיון ב\""אורח נטה ללון",BGU
12215021,דקאדנס וסימבוליזם בספרות העברית,BGU
12215041,הז\'אנר והמרחב בסיפורת העברית והרוסית,BGU
12215061,"סופר, סופר עממי ומספר עממי",BGU
12215081,הלשון הפיגורטיבית בשירה העברית,BGU
12215101,"בין ספרות להיסטוריה באגדת חז\""ל א",BGU
12215191,ספרות וקולנוע,BGU
12215291,גבריות ונשיות ביצירות ביאליק,BGU
12215371,ספרות וקולנוע,BGU
12215431,השירה העברית בספרד הנוצרית,BGU
12215451,מקרא בסיפורי אהבה עגנון,BGU
12215481,"המודרניזם בשירה הא\""י",BGU
12215521,היבטים אמנותיים ואידאיים בספרות האגדה,BGU
12215611,ליכוד שירי,BGU
12215641,עמנואל הרומי ותלמידיו,BGU
12215661,גבור הסיפור העממי,BGU
12215671,"המשל וסיפור בע\""ח",BGU
12215681,קריאה בשירה עברית,BGU
12215711,הסיפור העממי כביטוי,BGU
12215731,סיפורי סינדרלה,BGU
12215811,ניתוח מחזות,BGU
12215821,מוסכמות ושירה אישית,BGU
12215831,עמנואל הרומי מבשר הרנסנס,BGU
12215851,מה קובע המצוינית,BGU
12215891,"דמות יוצאי עד\' המז\' בסיפורת האר\""ישר",BGU
12215971,"סיפורי המעברה בין מיתוס ה\""חלוצים\"" לאנטי מיתוס של המהגרים - א",BGU
12216661,בקיאות במבוא ימי הביניים,BGU
12216671,סוד הקסם הפופולארי,BGU
12220101,תחנות יסוד בהיסטוריוגרפיה של הסיפורת העברית החדשה - ב,BGU
12225671,אמנות הסיפור בפרוזה,BGU
12290162,הקונפליקט בספרות ישראלית ופלסטינית,BGU
12310018,עברית תקנית הלכה ומעשה,BGU
12310031,כתיבה מדעית,BGU
12310065,בלשנות מעשית - ב,BGU
12311011,ניקוד,BGU
12311021,ניתוח תחבירי,BGU
12311031,הדרכה ביבליוגרפית בלשון,BGU
12311061,בלשנות חברתית,BGU
12311071,טקסטים של העברית החדשה,BGU
12311081,תורת ההגה של לשון המקרא,BGU
12311091,ארמית א,BGU
12311101,ארמית ב,BGU
12311111,תחביר לשון המקרא,BGU
12311131,תורת הצורות,BGU
12311141,תחביר העברית החדשה,BGU
12311151,טקסטים מקראיים,BGU
12311191,טקסטים משועבדים,BGU
12311271,ערבית למתחילים ג,BGU
12311311,תולדות הלשון העברית,BGU
12311351,הלשון העברית של ימי הביניים,BGU
12311431,מבוא לבלשנות א,BGU
12311451,תורת ההגה של העברית החדשה,BGU
12311461,סמנטיקה,BGU
12311471,לקסיקוגרפיה עברית,BGU
12311491,פונטיקה ורישום פונטי,BGU
12311521,עברית מקראית-צורות,BGU
12311561,לשונו של הרמבם א,BGU
12311621,"הלשון העברית של ימה\""ב",BGU
12311651,הדרכה ביבליוגרפית,BGU
12311681,מחידושי האקדמיה ללשון עברית,BGU
12311801,"לשון חז\""ל- מבוא",BGU
12311811,"לשון חז\""ל",BGU
12312051,כתובות כנעניות,BGU
12312101,שיחות בלשון היומיום,BGU
12312111,תחיית הלשון העברית,BGU
12312121,עריכה לשונית,BGU
12312131,לשון בפיוט,BGU
12312151,ערבית ב,BGU
12312201,ערבית למתחילים - חלק א,BGU
12312211,ערבית למתחילים,BGU
12312261,תורת הצורות של המקרא,BGU
12312331,ניקוד,BGU
12312341,תולדות הלשון העברית,BGU
12312401,שיחות בלשון היומיום ובתקשורת,BGU
12312411,ניתוח תחבירי - חלק ב,BGU
12312421,מבוא לבלשנות ב,BGU
12312461,לשונן של התפילות,BGU
12312571,מבוא לדקדוק העברית,BGU
12312581,מבוא לדקדוק העברי - ב,BGU
12313001,"בקיאות בתנ\""ך",BGU
12314001,קריאה בספרות מדעית,BGU
12314021,לשונו של הפיוט,BGU
12314031,טקסטים משוערבים,BGU
12325821,מורפוגנזה,BGU
12325841,טיפולוגיה,BGU
12410011,מבוא למזרח התיכון,BGU
12410013,קולוניאליזם באפריקה ומורשותיו,BGU
12410020,דת ומדינה:עלמא והגות אינטלקטואלית בעידן של רפורמה במזרח התיכון - א,BGU
12410021,"מבוא למזה\""ת המודרני",BGU
12410024,מדע וחברה: פוליטיקה של ידע,BGU
12410025,השיעים במדינות ערב,BGU
12410028,בדיון ומציאות בספרות הערבית המודרנית - ב,BGU
12410031,מבוא לדת האיסלם,BGU
12410033,המשכיות ושינוי באיראן במאה ה-19,BGU
12410034,עיון בהגותו של השיח\' יוסף אלקרצ\'אוי,BGU
12410041,מבוא לאימפריה עותמנית,BGU
12410043,הגות אסלאמית מודרנית - א,BGU
12410045,ערבית מדוברת - הדיאלקט הארצישראלי - א,BGU
12410051,יסודות השפה הערבית,BGU
12410052,"נשים,מנהגים ומיתוסים בספרות אלאדב",BGU
12410053,הגות אסלאמית מודרנית - ב,BGU
12410055,ערבית מדוברת - הדיאלקט הארצישראלי - ב,BGU
12410061,ערבית למתחילים,BGU
12410062,נשים מנהגים ומיתוס בספרות אל-אדב - קריאת טקסטים בערבית - ב,BGU
12410063,עיון בפסקי הלכה אסלאמיים מודרניים - א,BGU
12410067,"כתות דתיות, פוליטיות ואינטלקטואליות באסלאם בימי הביניים",BGU
12410071,ערבית למתקדמים - רמה ג\',BGU
12410073,עיון בפסקי הלכה אסלאמיים מודרניים - ב,BGU
12410081,ערבית למתקדמים - רמה ד\',BGU
12410089,גידול ילדים אצל נוודים פסטורליים במזרח התיכון,BGU
12410091,ערבית רמה ג-ד,BGU
12410099,אל-סירה אל-נבויה: הנביא מוחמד בין ספרות להסטוריה - א,BGU
12410101,לבנון בעת החדשה,BGU
12410119,"קולנוע פלסטיני - מגדר, תרבות ולאומיות",BGU
12410121,מערכת היחסים הבינערביים,BGU
12410131,"פרו\""ס ירדן",BGU
12410137,יסודות השפה הערבית - ב,BGU
12410145,עיתונות בעולם הערבי,BGU
12410149,תרגום והבעה בערבית - ב,BGU
12410152,נשים ופוליטיקה בחברה המוסלמית בימי הביניים - קריאת טקסטים בערבית,BGU
12410162,השמאל במדינות ערב - קריאת טקסטים בערבית,BGU
12410172,מפגש תרבויות,BGU
12410175,"תקשורת המונים: רדיו, טלוויזיה, אינטרנט - א",BGU
12410178,אסטרטגיות קריאה בערבית - א,BGU
12410181,משולש על הירדן,BGU
12410182,מבוא לאנתרופולוגיה של המזרח התיכון,BGU
12410187,עיון בטכסטים ערביים מודרניים למתחילים,BGU
12410190,.עירק בעת החדשה. צמיחת הלאומיות,BGU
12410198,בצל האיום: חופש הביטוי בכתיבה אינטלקטואלית במזרח התיכון - א,BGU
12410260,אמנות ותרבות באסלאם של ימי הביניים,BGU
12410263,סוגיות בדקדוק ובתחביר השפה הערבית למתקדמים,BGU
12410265,קריאה בכתבי עת ערביים,BGU
12410275,עיון בדרשות המסגדים ובתפקידו של המסגד באסלאם,BGU
12410280,אמצעי התקשורת בעולם הערבי - ב,BGU
12410281,שבטי הבדואים,BGU
12410291,שבטי הבדואים בנגב,BGU
12410303,חשיש וסמים אחרים: תולדות המהפכה הפסיכו-אקטיבית במזרח התיכון,BGU
12410311,קריאה בטכסטים ערביים,BGU
12410321,סכסוכים בין קהילתיים,BGU
12410341,המפרץ הפרסי,BGU
12410351,סוחרים סחורות ונתיבי מסחר,BGU
12410391,"מין ומיניות במזה\""ת",BGU
12410531,ערבית מדוברת למתחילים - ב,BGU
12410563,רצח-עם ובניית אומה,BGU
12410581,תולדות הנשים באימפריה העותומאנית,BGU
12410591,תולדות הנשים באימפ העו,BGU
12410671,תרבות ואומנות בחצרות השליטים,BGU
12410691,קריאת טקסטים בערבית,BGU
12410711,קריאת טקסטים,BGU
12410794,"הרומן שלי\"" - קריאה ועיון ברומנים מאת יוצרים במרחב הערבי - ב",BGU
12410831,פרסית למתחילים,BGU
12410841,פרסית למתחילים,BGU
12410921,מבוא לאומנות האיסלאם,BGU
12410931,"נשים וג\'מדר במה\""ת:מבט פמיניסטי",BGU
12410941,"נשים וג\'נדר במזה\""ת ב",BGU
12410971,היבטים איד\' וחב\' ברומנים הערביים,BGU
12410981,הסיפור הערבי הקצר,BGU
12411021,טקסטים פוליטיים,BGU
12411031,חוק מנהג ושריעה בחברה הבדואית,BGU
12411041,חוק מנהג ושריעה בחברה הבדואית - ב,BGU
12411061,אירן בעת החדשה,BGU
12411201,קורס גישור בקריאת טקסטים,BGU
12411221,"ייצוגים היסט\""גרפ של מחמד עלי",BGU
12411231,התהוותן של מדינות ערב,BGU
12411291,עמדות של אינט\' ער\' בעניין הנורמ,BGU
12411351,פרסית למתקדמים - א,BGU
12411361,פרסית למתקדמים - ב,BGU
12411381,אלג\'יריה תחת הקולוניאליזם הצרפתי,BGU
12411441,טקסטים מהספרות הערבית המודרנית,BGU
12411561,התימורים- פריחה בעת משבר,BGU
12411691,זרמים רעיוניים במצרים המודרנית,BGU
12411711,תולדות הסכסוך הציוני-ערבי 1948-1881,BGU
12411712,תולדות הסכסוך הציוני-ערבי 1948-1881 - ב,BGU
12411721,חברה ופוליטיקה בספרות הפלסטינית,BGU
12411731,תנועות שמאל בעולם הערבי,BGU
12411891,עיתונות ודעת קהל במזרח התיכון - קריאת טקסטים בערבית,BGU
12420036,קריאת טכסטים בערבית מודרנית: עיון לשוני ותרבותי,BGU
12420117,עיון בפסקי הלכה מוסלמים בני זמננו,BGU
12510025,ספרות האגדה - בין עבר להווה - א,BGU
12510037,המקרא בעין הסערה,BGU
12510056,"בן חמש שנים למקרא...\"": מחזור החיים בעולם היהודי בשלהי העת העתיקה",BGU
12510081,מדינת ישראל,BGU
12510145,היסטוריה של שפות יהודיות: בין העברית ללשונות התפוצות,BGU
12510160,סוגיות נבחרות בממלכת החשמונאים - א,BGU
12510183,השואה: חורבן יהדות אירופה - ב,BGU
12510273,"החברה החרדית - שורשים, אידיאות ותרבות",BGU
12510281,תולדות עם ישראל בתקופת המשנה והתלמוד,BGU
12510403,דמות הצדיק בחסידות פולין - כסיפורה של סמכות מול אוטונומיה - ב,BGU
